Month_Day,Home_Team,Away_Team,Home_Team_Wins,Home_FG,Home_FGA,Home_FG%,Home_3P,Home_3PA,Home_3P%,Home_2P,Home_2PA,Home_2P%,Home_FT,Home_FTA,Home_FT%,Home_ORB,Home_DRB,Home_TRB,Home_AST,Home_STL,Home_BLK,Home_TOV,Home_PTS,Home_Season_W,Home_Season_L,Home_Season_Win_Pct,Home_Season_PTS_PG,Home_Season_Opp_PTS_PG,Home_ORtg,Home_DRtg,Home_NRtg,Home_Pace,Home_Eff_FG%,Home_True_Shooting_Pct,Away_Opp_FG,Away_Opp_FGA,Away_Opp_FG%,Away_Opp_3P,Away_Opp_3PA,Away_Opp_3P%,Away_Opp_2P,Away_Opp_2PA,Away_Opp_2P%,Away_Opp_FT,Away_Opp_FTA,Away_Opp_FT%,Away_Opp_ORB,Away_Opp_DRB,Away_Opp_TRB,Away_Opp_AST,Away_Opp_STL,Away_Opp_BLK,Away_Opp_TOV,Away_Opp_PTS,Away_Season_W,Away_Season_L,Away_Season_Win_Pct,Away_Season_PTS_PG,Away_Season_Opp_PTS_PG,Away_ORtg,Away_DRtg,Away_NRtg,Away_Pace,Away_Eff_FG%,Away_True_Shooting_Pct,Home_Season_Point_Diff,Away_Season_Point_Diff,Home_Offensive_Advantage,Away_Defensive_Advantage,Pace_Diff
"Tue,-Oct",Denver Nuggets,Los Angeles Lakers,0,44.0,88.8,0.496,11.7,31.2,0.374,32.3,57.5,0.562,15.1,19.9,0.762,10.7,33.7,44.4,29.5,7.1,5.6,12.6,114.9,57,25,0.695,114.9,109.6,118.5,113.0,5.5,96.8,0.562,0.589,44.4,93.7,0.474,14.3,37.9,0.376,30.2,55.8,0.54,14.3,18.0,0.795,10.9,33.2,44.0,28.2,8.2,4.8,13.4,117.4,47,35,0.573,118.0,117.4,115.9,115.3,0.6,100.9,0.566,0.601,5.300000000000011,0.5999999999999943,3.200000000000003,-3.200000000000003,-4.1000000000000085
"Tue,-Oct",Golden State Warriors,Phoenix Suns,1,43.7,91.6,0.477,14.8,38.9,0.38,28.9,52.7,0.548,15.6,20.0,0.78,12.1,34.6,46.7,29.3,7.0,4.6,14.3,117.8,46,36,0.561,117.8,115.2,117.8,115.2,2.6,99.2,0.557,0.586,42.0,90.6,0.464,13.1,36.0,0.364,28.9,54.6,0.529,16.1,20.8,0.774,11.0,30.4,41.3,26.3,8.4,4.5,12.7,113.2,49,33,0.598,116.2,113.2,117.6,114.6,3.0,98.3,0.565,0.603,2.5999999999999943,3.0,3.200000000000003,-3.200000000000003,0.9000000000000057
"Wed,-Oct",Orlando Magic,Houston Rockets,0,40.5,84.9,0.476,11.0,31.3,0.352,29.5,53.6,0.549,18.5,24.4,0.759,10.5,31.8,42.3,24.7,8.2,5.2,14.7,110.5,47,35,0.573,110.5,108.4,113.4,111.3,2.1,96.9,0.541,0.577,40.8,88.1,0.463,12.3,35.4,0.348,28.4,52.7,0.54,19.3,25.2,0.767,10.7,34.2,44.9,24.4,7.3,5.9,13.8,113.2,41,41,0.5,114.3,113.2,114.5,113.4,1.1,99.0,0.529,0.565,2.0999999999999943,1.0999999999999943,0.0,0.0,-2.0999999999999943
"Wed,-Oct",Indiana Pacers,Washington Wizards,0,47.0,92.7,0.507,13.2,35.3,0.374,33.8,57.4,0.589,16.1,20.5,0.782,10.1,31.4,41.5,30.8,7.7,5.9,12.9,123.3,47,35,0.573,123.3,120.2,121.0,118.0,3.0,101.7,0.578,0.606,46.1,92.9,0.496,12.3,33.9,0.362,33.8,59.0,0.573,18.6,24.0,0.777,12.1,36.8,48.9,29.0,8.0,6.0,14.0,123.0,15,67,0.183,113.7,123.0,110.5,119.6,-9.1,102.7,0.538,0.567,3.0999999999999943,-9.299999999999997,1.4000000000000057,-1.4000000000000057,-1.0
"Wed,-Oct",Charlotte Hornets,Atlanta Hawks,0,40.0,87.0,0.46,12.1,34.0,0.355,28.0,53.0,0.528,14.5,18.4,0.786,9.3,31.0,40.3,24.8,6.9,4.5,13.8,106.6,21,61,0.256,106.6,116.8,109.3,119.8,-10.5,97.3,0.529,0.56,44.6,90.2,0.495,14.0,36.4,0.384,30.6,53.7,0.57,17.3,21.8,0.792,10.6,33.6,44.2,28.2,7.8,5.6,14.1,120.5,36,46,0.439,118.3,120.5,117.2,119.4,-2.2,100.1,0.539,0.576,-10.200000000000003,-2.200000000000003,-10.100000000000009,10.100000000000009,-2.799999999999997
"Wed,-Oct",Miami Heat,Detroit Pistons,0,39.8,85.6,0.465,12.5,33.7,0.37,27.4,51.9,0.527,18.0,22.0,0.818,9.3,33.0,42.3,25.8,7.5,3.4,12.7,110.1,46,36,0.561,110.1,108.4,114.0,112.2,1.8,96.2,0.538,0.578,43.6,89.0,0.49,12.1,32.7,0.37,31.5,56.3,0.56,19.6,24.5,0.8,9.6,33.5,43.1,27.0,8.9,6.0,12.4,119.0,14,68,0.171,109.9,119.0,109.7,118.8,-9.1,99.8,0.526,0.562,1.6999999999999886,-9.099999999999994,-4.799999999999997,4.799999999999997,-3.5999999999999943
"Wed,-Oct",Toronto Raptors,Minnesota Timberwolves,0,42.3,89.7,0.471,11.5,33.1,0.347,30.8,56.6,0.543,16.3,21.6,0.756,10.9,31.8,42.7,28.5,7.7,4.7,14.0,112.4,25,57,0.305,112.4,118.8,112.3,118.8,-6.5,99.4,0.535,0.566,39.0,86.8,0.45,11.4,32.3,0.354,27.6,54.5,0.506,17.1,21.9,0.781,10.3,31.2,41.4,24.5,7.5,4.5,14.2,106.5,56,26,0.683,113.0,106.5,115.6,109.0,6.6,97.1,0.559,0.594,-6.3999999999999915,6.5,3.299999999999997,-3.299999999999997,2.3000000000000114
"Wed,-Oct",Brooklyn Nets,Cleveland Cavaliers,1,40.7,89.1,0.456,13.3,36.7,0.362,27.4,52.4,0.522,15.8,20.9,0.756,11.4,32.6,44.1,25.6,6.8,5.2,13.1,110.4,32,50,0.39,110.4,113.3,113.2,116.1,-2.9,96.9,0.531,0.561,40.5,87.5,0.463,12.5,33.8,0.371,28.0,53.7,0.521,16.6,21.0,0.791,10.0,32.6,42.7,25.3,7.7,5.0,13.6,110.2,48,34,0.585,112.6,110.2,115.2,112.7,2.5,97.2,0.557,0.586,-2.8999999999999915,2.3999999999999915,0.5,-0.5,-0.29999999999999716
"Wed,-Oct",Memphis Grizzlies,New Orleans Pelicans,1,38.4,88.2,0.435,13.1,37.8,0.346,25.3,50.4,0.502,16.0,21.0,0.764,10.9,31.7,42.6,24.7,8.2,6.1,15.1,105.8,27,55,0.329,105.8,112.8,107.2,114.3,-7.1,98.2,0.509,0.543,40.5,87.3,0.464,13.5,38.7,0.349,26.9,48.5,0.555,16.2,20.7,0.783,10.1,32.2,42.3,26.8,6.5,5.2,14.2,110.7,49,33,0.598,115.1,110.7,117.4,112.9,4.5,97.9,0.558,0.591,-7.0,4.3999999999999915,-5.700000000000003,5.700000000000003,0.29999999999999716
"Wed,-Oct",Chicago Bulls,Oklahoma City Thunder,1,42.0,89.5,0.47,11.5,32.1,0.358,30.6,57.4,0.532,16.7,21.1,0.791,11.2,32.6,43.8,25.0,7.8,4.8,12.2,112.3,39,43,0.476,112.3,113.7,114.9,116.3,-1.4,96.3,0.534,0.568,40.6,89.3,0.455,13.4,37.2,0.361,27.2,52.1,0.522,18.1,22.9,0.789,11.8,32.9,44.7,26.9,7.1,5.1,15.7,112.7,57,25,0.695,120.1,112.7,119.5,112.1,7.4,99.8,0.573,0.608,-1.4000000000000057,7.3999999999999915,2.8000000000000114,-2.8000000000000114,-3.5
