Month_Day,Home_Team,Away_Team,Home_Team_Wins,Home_FG,Home_FGA,Home_FG%,Home_3P,Home_3PA,Home_3P%,Home_2P,Home_2PA,Home_2P%,Home_FT,Home_FTA,Home_FT%,Home_ORB,Home_DRB,Home_TRB,Home_AST,Home_STL,Home_BLK,Home_TOV,Home_PTS,Home_Season_W,Home_Season_L,Home_Season_Win_Pct,Home_Season_PTS_PG,Home_Season_Opp_PTS_PG,Home_ORtg,Home_DRtg,Home_NRtg,Home_Pace,Home_Eff_FG%,Home_True_Shooting_Pct,Away_Opp_FG,Away_Opp_FGA,Away_Opp_FG%,Away_Opp_3P,Away_Opp_3PA,Away_Opp_3P%,Away_Opp_2P,Away_Opp_2PA,Away_Opp_2P%,Away_Opp_FT,Away_Opp_FTA,Away_Opp_FT%,Away_Opp_ORB,Away_Opp_DRB,Away_Opp_TRB,Away_Opp_AST,Away_Opp_STL,Away_Opp_BLK,Away_Opp_TOV,Away_Opp_PTS,Away_Season_W,Away_Season_L,Away_Season_Win_Pct,Away_Season_PTS_PG,Away_Season_Opp_PTS_PG,Away_ORtg,Away_DRtg,Away_NRtg,Away_Pace,Away_Eff_FG%,Away_True_Shooting_Pct,Home_Season_Point_Diff,Away_Season_Point_Diff,Home_Offensive_Advantage,Away_Defensive_Advantage,Pace_Diff
"Tue,-Dec",Brooklyn Nets,Golden State Warriors,0,43.1,87.3,0.494,14.2,36.1,0.392,29.0,51.2,0.565,18.1,22.5,0.804,8.9,35.5,44.4,26.8,6.7,5.3,13.5,118.6,48,24,0.667,118.6,114.1,118.3,113.8,4.5,99.5,0.575,0.61,40.2,89.0,0.452,12.4,34.5,0.359,27.9,54.5,0.511,19.8,25.5,0.778,10.7,36.6,47.3,23.8,7.9,4.3,15.0,112.7,39,33,0.542,113.7,112.7,111.1,110.1,1.0,102.2,0.551,0.583,4.5,1.0,8.200000000000003,-8.200000000000003,-2.700000000000003
"Tue,-Dec",Los Angeles Lakers,Los Angeles Clippers,1,40.6,86.1,0.472,11.1,31.2,0.354,29.6,54.8,0.539,17.2,23.3,0.739,9.7,34.6,44.2,24.7,7.8,5.4,15.2,109.5,42,30,0.583,109.5,106.8,109.9,107.1,2.8,98.7,0.536,0.569,40.1,86.4,0.464,11.6,32.5,0.356,28.5,53.9,0.529,16.1,20.7,0.777,9.2,32.0,41.2,22.9,7.1,4.2,12.8,107.8,47,25,0.653,114.0,107.8,117.6,111.2,6.4,96.9,0.564,0.599,2.700000000000003,6.200000000000003,-1.2999999999999972,1.2999999999999972,1.7999999999999972
"Wed,-Dec",Cleveland Cavaliers,Charlotte Hornets,0,38.6,85.8,0.45,10.0,29.7,0.336,28.6,56.0,0.51,16.7,22.4,0.743,10.4,32.3,42.8,23.8,7.8,4.5,15.5,103.8,22,50,0.306,103.8,112.3,105.8,114.4,-8.6,97.3,0.508,0.543,41.3,88.1,0.468,14.5,39.5,0.366,26.8,48.6,0.552,14.4,19.3,0.745,10.6,34.5,45.2,27.1,8.1,4.8,14.8,111.4,33,39,0.458,109.5,111.4,110.9,112.8,-1.9,98.3,0.532,0.564,-8.5,-1.9000000000000057,-7.0,7.0,-1.0
"Wed,-Dec",Indiana Pacers,New York Knicks,0,43.3,91.2,0.474,12.3,34.0,0.364,30.9,57.3,0.54,16.4,20.7,0.792,9.0,33.7,42.7,27.4,8.5,6.4,13.5,115.3,34,38,0.472,115.3,115.3,112.4,112.4,0.0,101.6,0.542,0.575,37.9,86.2,0.44,12.0,35.6,0.337,25.9,50.6,0.512,16.9,22.2,0.761,9.7,34.4,44.1,23.6,6.6,5.4,12.8,104.7,41,31,0.569,107.0,104.7,110.6,108.2,2.4,95.9,0.524,0.559,0.0,2.299999999999997,4.200000000000003,-4.200000000000003,5.699999999999989
"Wed,-Dec",Orlando Magic,Miami Heat,0,38.3,89.2,0.429,10.9,31.8,0.343,27.4,57.4,0.476,16.6,21.4,0.775,10.4,35.1,45.4,21.8,6.9,4.4,12.8,104.0,21,51,0.292,104.0,113.3,105.1,114.5,-9.4,98.7,0.49,0.527,39.1,85.2,0.459,14.3,39.1,0.365,24.8,46.2,0.538,15.6,19.9,0.782,9.5,33.4,42.9,25.8,7.5,4.0,15.1,108.0,40,32,0.556,108.1,108.0,111.2,111.2,0.0,96.6,0.546,0.581,-9.299999999999997,0.09999999999999432,-6.1000000000000085,6.1000000000000085,2.1000000000000085
"Wed,-Dec",Philadelphia 76ers,Washington Wizards,0,41.4,86.9,0.476,11.3,30.1,0.374,30.1,56.8,0.531,19.6,25.5,0.767,10.0,35.0,45.1,23.7,9.1,6.2,14.4,113.6,49,23,0.681,113.6,108.1,113.2,107.6,5.6,99.5,0.541,0.579,43.1,91.6,0.471,12.4,33.7,0.369,30.7,57.9,0.529,19.8,25.4,0.781,10.3,35.8,46.1,24.5,8.2,4.8,14.7,118.5,34,38,0.472,116.6,118.5,111.2,113.0,-1.8,104.1,0.531,0.569,5.5,-1.9000000000000057,0.20000000000000284,-0.20000000000000284,-4.599999999999994
"Wed,-Dec",Toronto Raptors,New Orleans Pelicans,1,39.7,88.7,0.448,14.5,39.3,0.368,25.3,49.3,0.512,17.4,21.3,0.815,9.4,32.1,41.6,24.1,8.6,5.4,13.2,111.3,27,45,0.375,111.3,111.7,112.0,112.5,-0.5,99.2,0.529,0.567,41.9,89.3,0.469,14.5,38.1,0.38,27.4,51.2,0.535,16.6,21.1,0.79,8.9,32.9,41.8,25.9,7.7,5.9,13.3,114.9,31,41,0.431,114.6,114.9,113.5,113.8,-0.3,100.1,0.537,0.57,-0.4000000000000057,-0.30000000000001137,-1.7999999999999972,1.7999999999999972,-0.8999999999999915
"Wed,-Dec",Boston Celtics,Milwaukee Bucks,0,41.5,88.9,0.466,13.6,36.4,0.374,27.9,52.5,0.53,16.1,20.8,0.775,10.6,33.6,44.3,23.5,7.7,5.3,14.1,112.6,36,36,0.5,112.6,111.2,114.0,112.5,1.5,98.3,0.543,0.574,42.4,92.9,0.456,14.8,38.6,0.384,27.6,54.3,0.507,14.6,18.8,0.78,9.6,33.8,43.4,25.1,7.0,4.8,13.2,114.2,46,26,0.639,120.1,114.2,117.2,111.4,5.8,102.2,0.566,0.593,1.3999999999999915,5.8999999999999915,2.5999999999999943,-2.5999999999999943,-3.9000000000000057
"Wed,-Dec",Chicago Bulls,Atlanta Hawks,1,42.2,88.6,0.476,12.6,34.0,0.37,29.6,54.6,0.542,13.8,17.5,0.791,9.6,35.3,45.0,26.8,6.7,4.2,15.1,110.7,31,41,0.431,110.7,111.6,111.1,112.0,-0.9,99.0,0.547,0.575,41.3,89.1,0.463,11.9,34.2,0.349,29.3,55.0,0.534,16.9,21.1,0.803,10.0,32.7,42.7,24.4,7.7,5.0,12.3,111.4,41,31,0.569,113.7,111.4,115.7,113.3,2.4,97.6,0.539,0.581,-0.8999999999999915,2.299999999999997,-2.200000000000003,2.200000000000003,1.4000000000000057
"Wed,-Dec",Memphis Grizzlies,San Antonio Spurs,1,42.8,91.8,0.467,11.2,31.4,0.356,31.7,60.4,0.525,16.4,21.3,0.771,11.2,35.3,46.5,26.9,9.1,5.1,13.3,113.3,38,34,0.528,113.3,112.3,112.0,111.0,1.0,100.4,0.528,0.56,42.4,89.8,0.472,12.3,32.6,0.377,30.1,57.2,0.527,15.7,20.7,0.758,10.2,37.2,47.4,24.8,6.3,5.1,13.2,112.8,33,39,0.458,111.1,112.8,111.0,112.8,-1.8,98.9,0.517,0.554,1.0,-1.7000000000000028,-0.7999999999999972,0.7999999999999972,1.5
